movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
157336,Interstellar,2014-11-05,"Adventure, Drama, Science Fiction",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck","Lynda Obst, Christopher Nolan",165000000,746606706,62.1661,8.47,39367,"['Legendary Pictures', 'Syncopy', 'Lynda Obst Productions']"
680,Pulp Fiction,1994-09-10,"Thriller, Crime, Comedy",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",Lawrence Bender,8000000,213928762,27.1185,8.486,29977,"['Miramax', 'A Band Apart', 'Jersey Films']"
597,Titanic,1997-12-18,"Drama, Romance",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher","James Cameron, Jon Landau",200000000,2264162353,29.5472,7.902,26987,"['Paramount Pictures', '20th Century Fox', 'Lightstorm Entertainment']"
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"Adventure, Fantasy, Action",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm","Peter Jackson, Barrie M. Osborne",93000000,871368364,28.8794,8.431,27311,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']"
1084242,Zootopia 2,2025-11-26,"Animation, Family, Mystery, Adventure, Comedy",Jared Bush,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",Yvett Merino,150000000,1868208796,120.7232,7.602,2541,"['Walt Disney Animation Studios', 'Walt Disney Animation Studios']"
603,The Matrix,1999-03-31,"Action, Science Fiction",Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",Joel Silver,63000000,463517383,27.4771,8.242,27647,"['Village Roadshow Pictures', 'Groucho II Film Partnership', 'Silver Pictures', 'Warner Bros. Pictures']"
13,Forrest Gump,1994-06-23,"Comedy, Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson","Wendy Finerman, Steve Tisch",55000000,677387716,24.4868,8.464,29511,"['Paramount Pictures', 'The Steve Tisch Company', 'Wendy Finerman Productions']"
475557,Joker,2019-10-01,"Crime, Thriller, Drama",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen","Todd Phillips, Bradley Cooper",55000000,1078958629,18.3716,8.126,27529,"['Warner Bros. Pictures', 'Joint Effort', 'Village Roadshow Pictures', 'Bron Studios', 'DC Films']"
1726,Iron Man,2008-04-30,"Action, Science Fiction, Adventure",Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb","Avi Arad, Kevin Feige",140000000,585174222,21.5471,7.657,27944,"['Marvel Studios', 'Marvel Entertainment', 'Fairview Entertainment']"
615,The Passion of the Christ,2004-02-25,Drama,Mel Gibson,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito, Monica Bellucci","Mel Gibson, Stephen McEveety",30000000,610063468,107.6992,7.537,5147,['Icon Productions']
1368166,The Housemaid,2025-12-18,"Mystery, Thriller",Paul Feig,"Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Michele Morrone, Elizabeth Perkins","Paul Feig, Todd Lieberman",35000000,399346566,92.2821,7.192,1801,"['Lionsgate', 'Media Capital Technologies', 'Hidden Pictures', 'Pretty Dangerous Pictures']"
350,The Devil Wears Prada,2006-06-29,"Drama, Comedy",David Frankel,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker",Wendy Finerman,35000000,326706115,92.5044,7.4,12920,"['Fox 2000 Pictures', 'Wendy Finerman Productions', 'Dune Entertainment', 'Major Studio Partners']"
1316092,"""Wuthering Heights""",2026-02-11,"Romance, Drama",Emerald Fennell,"Margot Robbie, Jacob Elordi, Hong Chau, Alison Oliver, Shazad Latif","Margot Robbie, Emerald Fennell",80000000,240401072,83.6882,6.515,754,"['MRC', 'LuckyChap Entertainment', 'Lie Still', 'Warner Bros. Pictures', 'Domain Entertainment']"
1234731,Anaconda,2025-12-24,"Adventure, Comedy, Horror",Tom Gormican,"Jack Black, Paul Rudd, Steve Zahn, Thandiwe Newton, Daniela Melchior","Brad Fuller, Andrew Form",45000000,135148320,75.3925,5.878,999,"['Fully Formed Entertainment', 'Columbia Pictures', 'TSG Entertainment']"
1198994,Send Help,2026-01-22,"Horror, Thriller, Comedy",Sam Raimi,"Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel","Sam Raimi, Zainab Azizi",40000000,94041481,70.4737,7.0,951,"['Raimi Productions', '20th Century Studios', 'TSG Entertainment']"
1236153,Mercy,2026-01-20,"Science Fiction, Action, Thriller, Crime",Timur Bekmambetov,"Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan","Majd Nassif, Robert Amidon",60000000,54703407,60.3227,6.973,1088,"['Atlas Entertainment', 'Amazon MGM Studios', 'Bazelevs']"
1168190,The Wrecking Crew,2026-01-28,"Action, Comedy, Crime, Mystery",Ángel Manuel Soto,"Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox","Jason Momoa, Dave Bautista",78500000,89000000,61.6046,6.905,886,"['Amazon MGM Studios', 'On the Roam', 'Dogbone Entertainment', 'Henness Ridge Entertainment', '6th & Idaho Motion Picture Company', 'Reunion Pacific Entertainment']"
1325734,The Drama,2026-03-26,"Romance, Comedy, Drama",Kristoffer Borgli,"Zendaya, Robert Pattinson, Alana Haim, Mamoudou Athie, Hailey Benton Gates","Ari Aster, Tyler Campellone",28000000,43219265,61.2001,7.1,337,"['A24', 'Square Peg', 'Dilemma Films', 'Live Free or Die Films']"
10138,Iron Man 2,2010-04-28,"Adventure, Action, Science Fiction",Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",Kevin Feige,200000000,623933331,20.5975,6.851,22230,"['Marvel Studios', 'Fairview Entertainment', 'Marvel Entertainment']"
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"Adventure, Fantasy, Action",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport",Jerry Bruckheimer,140000000,655011224,16.3728,7.821,22054,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
674,Harry Potter and the Goblet of Fire,2005-11-16,"Adventure, Fantasy",Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon",David Heyman,150000000,895921036,16.8921,7.801,22010,"['Warner Bros. Pictures', 'Heyday Films', 'Patalex IV Productions']"
11,Star Wars,1977-05-25,"Adventure, Action, Science Fiction",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness",Gary Kurtz,11000000,775398007,22.2755,8.202,22151,"['Lucasfilm Ltd.', '20th Century Fox']"
297761,Suicide Squad,2016-08-03,"Action, Adventure, Fantasy",David Ayer,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis","Richard Suckle, Charles Roven",175000000,749200054,6.919,5.917,21993,"['Warner Bros. Pictures', 'RatPac Entertainment', 'DC Films', 'Atlas Entertainment']"
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,"Adventure, Fantasy",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman","David Barron, J.K. Rowling",125000000,1341511219,18.3074,8.08,21840,"['Warner Bros. Pictures', 'Heyday Films']"
284053,Thor: Ragnarok,2017-10-02,"Action, Science Fiction, Comedy",Taika Waititi,"Chris Hemsworth, Mark Ruffalo, Tom Hiddleston, Cate Blanchett, Idris Elba",Kevin Feige,180000000,855301806,13.7506,7.581,21876,['Marvel Studios']
105,Back to the Future,1985-07-03,"Adventure, Comedy, Science Fiction",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells","Bob Gale, Neil Canton",19000000,381109762,23.8648,8.326,21608,"['Universal Pictures', 'Amblin Entertainment']"
354912,Coco,2017-10-27,"Family, Animation, Music, Adventure",Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor",Darla K. Anderson,175000000,814641172,21.7609,8.197,20815,['Pixar']
135397,Jurassic World,2015-06-06,"Action, Adventure, Science Fiction, Thriller",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins","Frank Marshall, Patrick Crowley",150000000,1671537444,9.5087,6.699,21455,"['Amblin Entertainment', 'Universal Pictures', 'Legendary Pictures']"
297762,Wonder Woman,2017-05-30,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston","Zack Snyder, Charles Roven",149000000,823970682,11.4961,7.209,20807,"['Atlas Entertainment', 'Cruel & Unusual Films', 'DC Films', 'Warner Bros. Pictures']"
98,Gladiator,2000-05-04,"Action, Drama, Adventure",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris","Branko Lustig, Douglas Wick",103000000,465516248,16.805,8.224,20718,"['Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'DreamWorks Pictures']"
675,Harry Potter and the Order of the Phoenix,2007-07-08,"Adventure, Fantasy",David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Imelda Staunton, Helena Bonham Carter","David Heyman, Lorne Orleans",150000000,938212738,17.7238,7.672,20669,"['Warner Bros. Pictures', 'Heyday Films']"
238,The Godfather,1972-03-14,"Drama, Crime",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano","Albert S. Ruddy, Francis Ford Coppola",6000000,245066411,38.1935,8.687,22744,"['Paramount Pictures', 'Alfran Productions', 'ASR Productions']"
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,"Animation, Family, Comedy, Adventure, Fantasy",Derek Drymon,"Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke, Carolyn Lawrence","Pam Brady, Lisa Stewart",64000000,163197450,35.0363,6.76,263,"['Paramount Animation', 'Nickelodeon Movies', 'Domain Entertainment']"
1246049,Dracula,2025-07-30,"Horror, Fantasy, Romance",Luc Besson,"Caleb Landry Jones, Zoë Bleu Sidel, Christoph Waltz, Matilda De Angelis, Ewens Abid","Luc Besson, Virginie Besson-Silla",52000000,33593404,37.7085,7.071,1075,"['EuropaCorp', 'TF1 Films Production', 'SND', 'Kinology', 'Actarus Productions', 'Luc Besson Production']"
