movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
671,Harry Potter and the Philosopher's Stone,2001-11-16,"Adventure, Fantasy",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton",David Heyman,125000000,976475550,29.2205,7.898,29389,[]
118340,Guardians of the Galaxy,2014-07-30,"Action, Science Fiction, Adventure",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",Kevin Feige,170000000,772776600,8.4213,7.905,29532,[]
68718,Django Unchained,2012-12-25,"Drama, Western",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson","Stacey Sher, Reginald Hudlin",100000000,425368238,12.7166,8.19,27826,[]
299534,Avengers: Endgame,2019-04-24,"Adventure, Science Fiction, Action",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Kevin Feige,356000000,2799439100,33.4678,8.234,27485,[]
680493,Return to Silent Hill,2026-01-21,"Mystery, Drama, Horror",Christophe Gans,"Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis","Victor Hadida, Molly Hassell",23000000,47372551,98.7428,5.0,330,[]
1193501,Whistle,2026-01-20,"Horror, Mystery",Corin Hardy,"Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye","David Gross, Macdara Kelleher",2000000,4633854,116.757,6.0,238,[]
634649,Spider-Man: No Way Home,2021-12-15,"Action, Adventure, Science Fiction",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau","Kevin Feige, Amy Pascal",200000000,1921847111,72.9939,7.934,21778,[]
1266127,Ready or Not: Here I Come,2026-03-19,"Horror, Comedy",Matt Bettinelli-Olpin,"Samara Weaving, Kathryn Newton, Elijah Wood, Sarah Michelle Gellar, Shawn Hatosy","Tripp Vinson, James Vanderbilt",14000000,37552874,73.808,7.2,164,[]
1771,Captain America: The First Avenger,2011-07-22,"Action, Adventure, Science Fiction",Joe Johnston,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones, Hugo Weaving",Kevin Feige,140000000,370569774,6.8196,7.005,22600,[]
272,Batman Begins,2005-06-10,"Drama, Crime, Action",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman","Emma Thomas, Charles Roven",150000000,374218673,12.09,7.722,22434,[]
10195,Thor,2011-04-21,"Adventure, Fantasy, Action",Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård",Kevin Feige,150000000,449326618,11.6715,6.769,22215,[]
14160,Up,2009-05-28,"Animation, Comedy, Family, Adventure",Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo",Jonas Rivera,175000000,735103954,15.0515,7.959,21520,[]
286217,The Martian,2015-09-30,"Science Fiction, Drama, Adventure",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña","Aditya Sood, Simon Kinberg",108000000,631058917,16.5289,7.694,21039,[]
102899,Ant-Man,2015-07-14,"Science Fiction, Adventure, Action",Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale",Kevin Feige,130000000,519311965,9.7906,7.066,20753,[]
278,The Shawshank Redemption,1994-09-23,"Drama, Crime",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",Niki Marvin,25000000,28341469,41.2695,8.718,30100,[]
533535,Deadpool & Wolverine,2024-07-24,"Action, Comedy, Science Fiction",Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen","Ryan Reynolds, Lauren Shuler Donner",200000000,1338073645,30.8608,7.557,8454,[]
209112,Batman v Superman: Dawn of Justice,2016-03-23,"Action, Adventure, Fantasy",Zack Snyder,"Ben Affleck, Henry Cavill, Jesse Eisenberg, Gal Gadot, Amy Adams","Charles Roven, Deborah Snyder",250000000,874362803,14.4271,5.992,18868,[]
24,Kill Bill: Vol. 1,2003-10-10,"Action, Crime",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine","Lawrence Bender, Katsuji Morishita",30000000,180906076,13.7499,7.972,18768,[]
101299,The Hunger Games: Catching Fire,2013-11-15,"Adventure, Action, Science Fiction",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks","Nina Jacobson, Jon Kilik",130000000,865011746,8.4764,7.428,18323,[]
381288,Split,2017-01-19,"Horror, Thriller",M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula, Betty Buckley","Jason Blum, M. Night Shyamalan",9000000,278454358,13.3207,7.341,18229,[]
198663,The Maze Runner,2014-09-10,"Action, Mystery, Science Fiction, Thriller",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Will Poulter","Lindsay Williams, Lee Stollman",34000000,348319861,13.9968,7.189,17989,[]
313369,La La Land,2016-12-01,"Comedy, Drama, Romance",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, Finn Wittrock","Jordan Horowitz, Marc Platt",30000000,509183536,15.0667,7.899,17980,[]
18785,The Hangover,2009-06-02,Comedy,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham","Daniel Goldberg, Todd Phillips",35000000,469310836,11.8961,7.33,17965,[]
1241982,Moana 2,2024-11-21,"Animation, Adventure, Family, Comedy, Fantasy",David G. Derrick Jr.,"Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung, Rose Matafeo, David Fane","Christina Chen, Yvett Merino",150000000,1059242164,25.766,6.994,3017,[]
14836,Coraline,2009-02-05,"Animation, Family, Fantasy",Henry Selick,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David","Claire Jennings, Harry Linden",60000000,185860104,25.3623,7.9,8861,[]
575265,Mission: Impossible - The Final Reckoning,2025-05-17,"Action, Thriller, Adventure",Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Esai Morales","Jake Myers, Christopher McQuarrie",400000000,598767057,25.147,7.163,2700,[]
177572,Big Hero 6,2014-10-24,"Adventure, Family, Animation, Action, Comedy",Chris Williams,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller, Jamie Chung",Roy Conli,165000000,657870525,16.4554,7.724,16475,[]
72190,World War Z,2013-06-19,"Action, Horror, Science Fiction, Thriller",Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale, Ludi Boeken","Brad Pitt, Ian Bryce",200000000,531865000,12.3976,6.825,16390,[]
558,Spider-Man 2,2004-06-25,"Action, Adventure, Science Fiction",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris","Avi Arad, Laura Ziskin",200000000,788976453,6.582,7.303,16212,[]
127585,X-Men: Days of Future Past,2014-05-15,"Action, Adventure, Science Fiction",Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Patrick Stewart, Ian McKellen","Bryan Singer, Simon Kinberg",250000000,748045700,9.3181,7.53,16147,[]
77,Memento,2000-10-11,"Mystery, Thriller",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega","Suzanne Todd, Jennifer Todd",9000000,40060108,12.9179,8.2,16082,[]
118,Charlie and the Chocolate Factory,2005-07-13,"Adventure, Comedy, Family, Fantasy",Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor","Richard D. Zanuck, Brad Grey",150000000,475000000,9.6576,7.038,16029,[]
150540,Inside Out,2015-06-17,"Animation, Family, Adventure, Drama, Comedy",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",Jonas Rivera,175000000,857611174,21.7661,7.91,23326,[]
858024,Hamnet,2025-11-26,"Drama, Romance, History",Chloé Zhao,"Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe","Liza Marshall, Sam Mendes",35000000,100600000,25.2763,7.7,1217,[]
1175942,The Bad Guys 2,2025-07-24,"Family, Comedy, Crime, Adventure, Animation",Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos",Damon Ross,80000000,239449449,20.9488,7.664,740,[]
429617,Spider-Man: Far From Home,2019-06-28,"Action, Adventure, Science Fiction",Jon Watts,"Tom Holland, Jake Gyllenhaal, Samuel L. Jackson, Marisa Tomei, Jon Favreau","Kevin Feige, Amy Pascal",160000000,1132723226,21.6446,7.396,16823,[]
1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,"Adventure, Action, Science Fiction",George Lucas,"Hayden Christensen, Ewan McGregor, Natalie Portman, Ian McDiarmid, Samuel L. Jackson",Rick McCallum,113000000,850000000,7.5496,7.463,14812,[]
466272,Once Upon a Time... in Hollywood,2019-07-24,"Comedy, Drama, Thriller",Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley","David Heyman, Shannon McIntosh",95000000,392105159,14.7824,7.424,14718,[]
769,GoodFellas,1990-09-12,"Drama, Crime",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",Irwin Winkler,25000000,47072327,21.555,8.453,14196,[]
425,Ice Age,2002-03-14,"Animation, Comedy, Family, Adventure",Chris Wedge,"Ray Romano, John Leguizamo, Denis Leary, Goran Višnjić, Jack Black",Lori Forte,59000000,383257136,13.1089,7.37,14180,[]
264660,Ex Machina,2015-01-21,"Drama, Science Fiction",Alex Garland,"Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson","Allon Reich, Andrew Macdonald",15000000,36869414,7.1562,7.574,14150,[]
541671,Ballerina,2025-06-04,"Action, Thriller, Crime",Len Wiseman,"Ana de Armas, Keanu Reeves, Ian McShane, Anjelica Huston, Gabriel Byrne","Basil Iwanyk, Erica Lee",90000000,137408107,19.8377,7.239,2476,[]
