movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,year
157336,Interstellar,05-11-2014,"Adventure, Drama, Science Fiction",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck","Lynda Obst, Christopher Nolan",224387482.25871858,1015328478.7685777,62.1661,8.47,39367,2014
671,Harry Potter and the Philosopher's Stone,16-11-2001,"Adventure, Fantasy",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton",David Heyman,227232495.76510447,1775095810.2408245,29.2205,7.898,29389,2001
680,Pulp Fiction,10-09-1994,"Thriller, Crime, Comedy",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",Lawrence Bender,17378839.406207826,464729199.9,27.1185,8.486,29977,1994
118340,Guardians of the Galaxy,30-07-2014,"Action, Science Fiction, Adventure",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",Kevin Feige,231187102.93322518,1050917549.226987,8.4213,7.905,29532,2014
597,Titanic,18-12-1997,"Drama, Romance",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher","James Cameron, Jon Landau",401175077.88161993,4541627541.507034,29.5472,7.902,26987,1997
120,The Lord of the Rings: The Fellowship of the Ring,18-12-2001,"Adventure, Fantasy, Action",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm","Peter Jackson, Barrie M. Osborne",169060976.8492377,1584025664.659808,28.8794,8.431,27311,2001
1084242,Zootopia 2,26-11-2025,"Animation, Family, Mystery, Adventure, Comedy",Jared Bush,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",Yvett Merino,150000000,1868208796,120.7232,7.602,2541,2025
603,The Matrix,31-03-1999,"Action, Science Fiction",Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",Joel Silver,121743151.26050419,895715347.1498739,27.4771,8.242,27647,1999
68718,Django Unchained,25-12-2012,"Drama, Western",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson","Stacey Sher, Reginald Hudlin",140222741.0123958,596463002.7197313,12.7166,8.19,27826,2012
13,Forrest Gump,23-06-1994,"Comedy, Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson","Wendy Finerman, Steve Tisch",119479520.91767882,1471526541.5127397,24.4868,8.464,29511,1994
475557,Joker,01-10-2019,"Crime, Thriller, Drama",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen","Todd Phillips, Bradley Cooper",69260239.30500631,1358707869.9043913,18.3716,8.126,27529,2019
1726,Iron Man,30-04-2008,"Action, Science Fiction, Adventure",Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb","Avi Arad, Kevin Feige",209342275.76949695,875012166.8223202,21.5471,7.657,27944,2008
